Token Holder,Balance
0xd00,548.2733318889963
0xa37,223.91649847721004
0x7a7,188.48689353530148
0x2d2,184.65507242709214
0xae1,148.9641239123894
0x864,119.20307591828367
0x1d0,71.3462711505044
0x7d5,69.02396738679097
0x068,61.753727276472
0xe16,58.73621666142801
0x64f,42.574142421387464
0xf02,41.518113196123146
0x4ed,37.49933035868079
0x41d,11.609288292535773
0x91e,10.38673696133851
0xe66,9.977236434159066
0xbe9,9.09091353923151
0x42a,8.65535730588532
0xeef,7.722987817671298
0xe53,1.0
0x2d3,0.4202293845201535
0x618,0.3351918399824044
0x320,5.24288e-13
0xa2d,3.2768e-14
0x391,1.6384e-14
