Date,Total Gain/Loss,Unrealized Gain/Loss,Realized Gain/Loss
2020-02-12,1.7538650000001184e-14,1.7538650000001184e-14,0.0
2020-02-13,2.7171424000003454e-14,2.7171424000003454e-14,0.0
2020-02-14,-1.4831647999997632e-14,-1.4831647999997632e-14,0.0
2020-02-15,-2.3559562999998068e-14,-2.3559562999998068e-14,0.0
2020-02-16,-5.785239599999727e-14,-5.785239599999727e-14,0.0
2020-02-17,-9.2253399999992e-15,-9.2253399999992e-15,0.0
2020-02-18,-3.849251399999915e-14,-3.849251399999915e-14,0.0
2020-02-19,-5.436941099999759e-14,-5.436941099999759e-14,0.0
2020-02-20,-1.5099499999846843e-16,-1.5099499999846843e-16,0.0
2020-02-21,-2.3839029999997287e-14,-2.3839029999997287e-14,0.0
2020-02-22,1.8716411000002162e-14,1.8716411000002162e-14,0.0
2020-02-23,-8.179080999998136e-15,-8.179080999998136e-15,0.0
2020-02-24,3.3260411000003317e-14,3.3260411000003317e-14,0.0
2020-02-25,-5.860726999997666e-15,-5.860726999997666e-15,0.0
2020-02-26,1.9668841000001698e-14,1.9668841000001698e-14,0.0
2020-02-27,1.86094520000021e-14,1.86094520000021e-14,0.0
2020-02-28,1.969055600000244e-14,1.969055600000244e-14,0.0
2020-02-29,3.6405248000001606e-14,3.6405248000001606e-14,0.0
2020-03-01,8.61391630000018e-14,8.61391630000018e-14,0.0
2020-03-02,6.837296000001799e-15,6.837296000001799e-15,0.0
2020-03-03,1.850946200000222e-14,1.850946200000222e-14,0.0
2020-03-04,2.031110000021868e-16,2.031110000021868e-16,0.0
2020-03-05,4.3816628000000894e-14,4.3816628000000894e-14,0.0
2020-03-06,3.9016300000185645e-16,3.9016300000185645e-16,0.0
2020-03-07,1.3538747000002565e-14,1.3538747000002565e-14,0.0
2020-03-08,9.578587500000119e-14,9.578587500000119e-14,0.0
2020-03-09,8.270465800000166e-14,8.270465800000166e-14,0.0
2020-03-10,7.003168300000218e-14,7.003168300000218e-14,0.0
2020-03-11,1.884799380000032e-13,1.884799380000032e-13,0.0
2020-03-12,6.151703960000025e-13,6.151703960000025e-13,0.0
2020-03-13,1.3899296800000032e-13,1.3899296800000032e-13,0.0
2020-03-14,4.345184630000024e-13,4.345184630000024e-13,0.0
2020-03-15,4.665369780000011e-13,4.665369780000011e-13,0.0
2020-03-16,3.5737486500000366e-13,3.5737486500000366e-13,0.0
2020-03-17,2.32457964000002e-13,2.32457964000002e-13,0.0
2020-03-18,2.530677210000019e-13,2.530677210000019e-13,0.0
2020-03-19,2.628675490000003e-13,2.628675490000003e-13,0.0
2020-03-20,2.2798043200000164e-13,2.2798043200000164e-13,0.0
2020-03-21,1.6494845300000266e-13,1.6494845300000266e-13,0.0
2020-03-22,2.740679440000021e-13,2.740679440000021e-13,0.0
2020-03-23,3.616651430000027e-13,3.616651430000027e-13,0.0
2020-03-24,3.0442288800000087e-13,3.0442288800000087e-13,0.0
2020-03-25,2.2616778500000207e-13,2.2616778500000207e-13,0.0
2020-03-26,1.4821396500000163e-13,1.4821396500000163e-13,0.0
2020-03-27,1.9419886100000315e-13,1.9419886100000315e-13,0.0
2020-03-28,2.732823660000019e-13,2.732823660000019e-13,0.0
2020-03-29,2.71635662000003e-13,2.71635662000003e-13,0.0
2020-03-30,1.6468898400000051e-13,1.6468898400000051e-13,0.0
2020-03-31,1.735422400000009e-13,1.735422400000009e-13,0.0
2020-04-01,2.1553612100000285e-13,2.1553612100000285e-13,0.0
2020-04-02,1.5097419400000273e-13,1.5097419400000273e-13,0.0
2020-04-03,1.418445010000023e-13,1.418445010000023e-13,0.0
2020-04-04,1.1904758900000016e-13,1.1904758900000016e-13,0.0
2020-04-05,1.6548031900000221e-13,1.6548031900000221e-13,0.0
2020-04-06,1.8348104400000276e-13,1.8348104400000276e-13,0.0
2020-04-07,3.7809541900000136e-13,3.7809541900000136e-13,0.0
2020-04-08,2.035915580000018e-13,2.035915580000018e-13,0.0
2020-04-09,1.8535550300000208e-13,1.8535550300000208e-13,0.0
2020-04-10,1.8171849300000315e-13,1.8171849300000315e-13,0.0
2020-04-11,2.3295336900000025e-13,2.3295336900000025e-13,0.0
2020-04-12,1.5163655200000193e-13,1.5163655200000193e-13,0.0
2020-04-13,2.286281450000019e-13,2.286281450000019e-13,0.0
2020-04-14,1.822457130000015e-13,1.822457130000015e-13,0.0
2020-04-15,2.0706949300000018e-13,2.0706949300000018e-13,0.0
2020-04-16,2.0883638700000252e-13,2.0883638700000252e-13,0.0
2020-04-17,1.84036847000002e-13,1.84036847000002e-13,0.0
2020-04-18,2.1289901100000113e-13,2.1289901100000113e-13,0.0
2020-04-19,1.0289203300000271e-13,1.0289203300000271e-13,0.0
2020-04-20,9.405907800000271e-14,9.405907800000271e-14,0.0
2020-04-21,9.637480600000089e-14,9.637480600000089e-14,0.0
2020-04-22,1.6917146500000215e-13,1.6917146500000215e-13,0.0
2020-04-23,1.6673140600000106e-13,1.6673140600000106e-13,0.0
2020-04-24,1.1180619200000261e-13,1.1180619200000261e-13,0.0
2020-04-25,7.79966056100012,7.79966056100012,0.0
2020-04-26,11.430462692000118,11.430462692000118,0.0
2020-04-27,10.520584778000154,10.520584778000154,0.0
2020-04-28,11.864517126000157,11.864517126000157,0.0
2020-04-29,31.450764653000153,31.450764653000153,0.0
